transaction_id,customer_id,product,store,transaction_date,sales_amount,order_source,payment_method,order_state,created_date,updated_date
S8000000001,169,vneck-tee,BNE02,1/1/22,52.96,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000002,20,hoodie,PER01,1/1/22,98.91,IN-STORE,CARD,PENDING,1/1/22,1/1/22
S8000000003,40,hoodie-with-logo,CBR01,1/1/22,41.20,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000004,75,tshirt,MEL01,1/1/22,54.26,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000005,169,beanie,MEL02,1/1/22,10.35,IN-STORE,CARD,PENDING,1/1/22,1/1/22
S8000000006,169,belt,AKL01,1/1/22,69.63,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000007,38,cap,AKL02,1/1/22,78.14,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000008,59,sunglasses,WLG01,1/1/22,56.50,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000009,82,hoodie-with-pocket,SYD01,1/1/22,22.31,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000010,11,hoodie-with-zipper,BNE02,1/1/22,1.93,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000011,169,long-sleeve-tee,PER01,1/1/22,90.22,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000012,71,polo,CBR01,1/1/22,41.22,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000013,2,album,MEL01,1/1/22,72.23,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000014,63,single,MEL02,1/1/22,5.05,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000015,88,vneck-tee-red,AKL01,1/1/22,76.60,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000016,169,vneck-tee-green,AKL02,1/1/22,68.04,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000017,37,vneck-tee-blue,WLG01,1/1/22,39.32,IN-STORE,CARD,PENDING,1/1/22,1/1/22
S8000000018,169,hoodie-red,BNE02,1/1/22,12.06,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000019,42,hoodie-green,PER01,1/1/22,72.97,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000020,18,hoodie-blue,,1/1/22,79.65,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000021,18,tshirt-logo,,1/1/22,16.58,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000022,4,beanie-logo,,1/1/22,44.28,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000023,12,logo-collection,,1/1/22,90.46,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000024,76,wp-pennant,,1/1/22,73.78,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000025,6,hoodie-blue-logo,WLG01,1/1/22,88.58,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000026,60,vneck-tee,SYD01,1/1/22,41.21,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000027,40,hoodie,BNE02,1/1/22,93.71,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000028,27,hoodie-with-logo,PER01,1/1/22,17.11,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000029,12,tshirt,CBR01,1/1/22,70.49,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000030,68,beanie,MEL01,1/1/22,5.04,ONLINE,ONLINE,PENDING,1/1/22,1/1/22
S8000000031,66,belt,MEL02,1/1/22,56.99,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000032,60,cap,AKL01,1/1/22,97.65,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000033,2,sunglasses,AKL02,1/1/22,19.72,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000034,13,hoodie-with-pocket,WLG01,1/1/22,94.72,IN-STORE,CASH,PENDING,1/1/22,1/1/22
S8000000035,169,hoodie-with-zipper,BNE02,1/1/22,79.72,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000036,169,long-sleeve-tee,PER01,1/1/22,42.83,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000037,75,polo,CBR01,1/1/22,31.83,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000038,169,album,MEL01,1/1/22,5.93,IN-STORE,CARD,CANCELED,1/1/22,1/1/22
S8000000039,41,single,MEL02,1/1/22,26.16,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000040,34,vneck-tee-red,AKL01,1/1/22,27.36,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000041,50,vneck-tee-green,AKL02,1/1/22,23.65,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000042,16,vneck-tee-blue,WLG01,1/1/22,89.82,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000043,169,hoodie-red,SYD01,1/1/22,77.94,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000044,81,vneck-tee,BNE02,1/1/22,56.94,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000045,88,hoodie,PER01,1/1/22,88.15,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000046,64,hoodie-with-logo,CBR01,1/1/22,96.31,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000047,169,tshirt,MEL01,1/1/22,52.56,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000048,43,beanie,MEL02,1/1/22,41.77,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000049,7,belt,AKL01,1/1/22,78.14,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
